Body Regions;A01
Hospital Communication Systems;N02.278.216.500.937
Hospital Departments;N02.278.216.500.968
Admitting Department, Hospital;N02.278.216.500.968.040
Anesthesia Department, Hospital;N02.278.216.500.968.070
Cardiology Service, Hospital;N02.278.216.500.968.215
Central Supply, Hospital;N02.278.216.500.968.260
Chaplaincy Service, Hospital;N02.278.216.500.968.270
Dental Service, Hospital;N02.278.216.500.968.298
Education Department, Hospital;N02.278.216.500.968.310
Emergency Service, Hospital;N02.278.216.500.968.336
Trauma Centers;N02.278.216.500.968.336.500
Food Service, Hospital;N02.278.216.500.968.374
Housekeeping, Hospital;N02.278.216.500.968.412
Laboratories, Hospital;N02.278.216.500.968.420
Laundry Service, Hospital;N02.278.216.500.968.428
Maintenance and Engineering, Hospital;N02.278.216.500.968.450
Medical Records Department, Hospital;N02.278.216.500.968.465
Morgue;N02.278.216.500.968.467
Nuclear Medicine Department, Hospital;N02.278.216.500.968.472
Nursing Service, Hospital;N02.278.216.500.968.489
Obstetrics and Gynecology Department, Hospital;N02.278.216.500.968.495
Occupational Therapy Department, Hospital;N02.278.216.500.968.500
Oncology Service, Hospital;N02.278.216.500.968.513
Outpatient Clinics, Hospital;N02.278.216.500.968.527
Pain Clinics;N02.278.216.500.968.527.600
Pathology Department, Hospital;N02.278.216.500.968.535
Personnel Administration, Hospital;N02.278.216.500.968.565
Pharmacy Service, Hospital;N02.278.216.500.968.603
Physical Therapy Department, Hospital;N02.278.216.500.968.615
Psychiatric Department, Hospital;N02.278.216.500.968.641
Purchasing, Hospital;N02.278.216.500.968.679
Group Purchasing;N02.278.216.500.968.679.375
Radiology Department, Hospital;N02.278.216.500.968.695
Respiratory Therapy Department, Hospital;N02.278.216.500.968.712
Social Work Department, Hospital;N02.278.216.500.968.730
Surgery Department, Hospital;N02.278.216.500.968.750
Urology Department, Hospital;N02.278.216.500.968.790
Hospital Distribution Systems;N02.278.216.500.984
Hospital Restructuring;N02.278.216.500.988
Hospital-Physician Joint Ventures;N02.278.216.500.988.380
Physician Self-Referral;N02.278.216.500.988.380.500
Hospital Shared Services;N02.278.216.500.990
Hospital Shops;N02.278.216.500.991
Hospital-Patient Relations;N02.278.216.500.992
Hospital-Physician Relations;N02.278.216.500.996
Medical Staff Privileges;N02.278.216.500.996.500
Libraries, Hospital;N02.278.216.500.998
Materials Management, Hospital;N02.278.216.500.999
Inventories, Hospital;N02.278.216.500.999.300
Health Facility Closure;N02.278.218
Health Facility Environment;N02.278.220
Patients' Rooms;N02.278.220.640
Health Facility Merger;N02.278.235
Health Facility Moving;N02.278.255
Health Facility Size;N02.278.306
Hospital Bed Capacity;N02.278.306.472
Hospital Bed Capacity, under 100;N02.278.306.472.080
Hospital Bed Capacity, 100 to 299;N02.278.306.472.120
Hospital Bed Capacity, 300 to 499;N02.278.306.472.180
Hospital Bed Capacity, 500 and over;N02.278.306.472.300
Health Resorts;N02.278.330
Hospital Administration;N02.278.354
Medication Systems, Hospital;N02.278.354.675
Product Line Management;N02.278.354.700
Hospital Units;N02.278.388
Clinical Observation Units;N02.278.388.075
Delivery Rooms;N02.278.388.150
Hemodialysis Units, Hospital;N02.278.388.200
Intensive Care Units;N02.278.388.493
Burn Units;N02.278.388.493.160
Coronary Care Units;N02.278.388.493.211
Intensive Care Units, Pediatric;N02.278.388.493.390
Intensive Care Units, Neonatal;N02.278.388.493.390.380
Recovery Room;N02.278.388.493.592
Respiratory Care Units;N02.278.388.493.696
Nurseries, Hospital;N02.278.388.540
Nursing Stations;N02.278.388.620
Operating Rooms;N02.278.388.700
Self-Care Units;N02.278.388.740
Hospitals;N02.278.421
Hospitals, Animal;N02.278.421.280
Hospitals, Community;N02.278.421.306
Hospitals, General;N02.278.421.389
Hospitals, Group Practice;N02.278.421.395
Hospitals, High-Volume;N02.278.421.414
Hospitals, Low-Volume;N02.278.421.434
Hospitals, Private;N02.278.421.481
Hospitals, Proprietary;N02.278.421.481.500
Hospitals, Religious;N02.278.421.481.600
Hospitals, Voluntary;N02.278.421.481.800
Hospitals, Public;N02.278.421.510
Hospitals, County;N02.278.421.510.100
Hospitals, District;N02.278.421.510.140
Hospitals, Federal;N02.278.421.510.180
Hospitals, Military;N02.278.421.510.180.250
Hospitals, Veterans;N02.278.421.510.180.400
Hospitals, Municipal;N02.278.421.510.210
Hospitals, State;N02.278.421.510.300
Hospitals, Rural;N02.278.421.518
Hospitals, Satellite;N02.278.421.530
Hospitals, Special;N02.278.421.556
Cancer Care Facilities;N02.278.421.556.070
Cardiac Care Facilities;N02.278.421.556.110
Hospices;N02.278.421.556.185
Hospitals, Rehabilitation;N02.278.421.556.193
Hospitals, Chronic Disease;N02.278.421.556.200
Hospitals, Convalescent;N02.278.421.556.294
Hospitals, Isolation;N02.278.421.556.330
Hospitals, Maternity;N02.278.421.556.366
Hospitals, Osteopathic;N02.278.421.556.386
Hospitals, Pediatric;N02.278.421.556.437
Hospitals, Psychiatric;N02.278.421.556.508
Surgicenters;N02.278.421.556.868
Hospitals, Teaching;N02.278.421.639
Hospitals, University;N02.278.421.639.725
Hospitals, Urban;N02.278.421.660
Hospitals, Municipal;N02.278.421.660.400
Mobile Health Units;N02.278.421.702
Secondary Care Centers;N02.278.421.745
Tertiary Care Centers;N02.278.421.830
Laboratories;N02.278.487
Laboratories, Hospital;N02.278.487.410
Leper Colonies;N02.278.524
Medical Office Buildings;N02.278.562
Morgue;N02.278.590
Nurseries;N02.278.617
Nurseries, Hospital;N02.278.617.473
Pharmacies;N02.278.678
Physicians' Offices;N02.278.692
Poison Control Centers;N02.278.726
Rehabilitation Centers;N02.278.808
Sheltered Workshops;N02.278.808.860
Substance Abuse Treatment Centers;N02.278.808.930
Residential Facilities;N02.278.825
Assisted Living Facilities;N02.278.825.187
Group Homes;N02.278.825.375
Homes for the Aged;N02.278.825.462
Nursing Homes;N02.278.825.610
Intermediate Care Facilities;N02.278.825.610.480
Skilled Nursing Facilities;N02.278.825.610.770
Student Run Clinic;N02.278.912
Health Workforce;N02.350
Health Personnel;N02.360
Allied Health Personnel;N02.360.067
Animal Technicians;N02.360.067.040
Community Health Workers;N02.360.067.080
Dental Auxiliaries;N02.360.067.105
Dental Assistants;N02.360.067.105.250
Dental Hygienists;N02.360.067.105.376
Dental Technicians;N02.360.067.105.503
Denturists;N02.360.067.105.751
Emergency Medical Technicians;N02.360.067.150
Home Health Aides;N02.360.067.350
Licensed Practical Nurses;N02.360.067.450
Medical Record Administrators;N02.360.067.550
Medical Secretaries;N02.360.067.600
Medical Receptionists;N02.360.067.600.630
Nursing Assistants;N02.360.067.652
Psychiatric Aides;N02.360.067.652.628
Operating Room Technicians;N02.360.067.700
Pharmacy Technicians;N02.360.067.730
Physical Therapist Assistants;N02.360.067.732
Physician Assistants;N02.360.067.740
Ophthalmic Assistants;N02.360.067.740.690
Pediatric Assistants;N02.360.067.740.750
Anatomists;N02.360.133
Anesthetists;N02.360.140
Anesthesiologists;N02.360.140.040
Nurse Anesthetists;N02.360.140.650
Audiologists;N02.360.170
Caregivers;N02.360.200
Case Managers;N02.360.215
Coroners and Medical Examiners;N02.360.230
Dental Staff;N02.360.290
Dental Staff, Hospital;N02.360.290.490
Dentists;N02.360.330
Dentists, Women;N02.360.330.310
Endodontists;N02.360.330.397
Oral and Maxillofacial Surgeons;N02.360.330.483
Orthodontists;N02.360.330.655
Doulas;N02.360.338
Epidemiologists;N02.360.345
Faculty, Dental;N02.360.360
Faculty, Medical;N02.360.375
Faculty, Nursing;N02.360.390
Health Facility Administrators;N02.360.430
Hospital Administrators;N02.360.430.490
Chief Executive Officers, Hospital;N02.360.430.490.100
Infection Control Practitioners;N02.360.490
Medical Chaperones;N02.360.500
Medical Laboratory Personnel;N02.360.510
Medical Staff;N02.360.630
Medical Staff, Hospital;N02.360.630.490
Hospitalists;N02.360.630.490.400
Nurses;N02.360.650
Nurse Administrators;N02.360.650.580
Nurse Practitioners;N02.360.650.640
Family Nurse Practitioners;N02.360.650.640.249
Pediatric Nurse Practitioners;N02.360.650.640.500
Nurse Specialists;N02.360.650.648
Nurse Anesthetists;N02.360.650.648.500
Nurse Clinicians;N02.360.650.648.525
Nurse Midwives;N02.360.650.648.762
Nurses, Pediatric;N02.360.650.648.940
Nurses, Neonatal;N02.360.650.648.940.500
Nurses, Community Health;N02.360.650.655
Nurses, International;N02.360.650.662
Nurses, Male;N02.360.650.670
Nurses, Public Health;N02.360.650.835
Nursing Staff;N02.360.680
Nursing Staff, Hospital;N02.360.680.490
Shared Governance, Nursing;N02.360.680.490.500
Nutritionists;N02.360.695
Occupational Therapists;N02.360.710
Optometrists;N02.360.725
Personnel, Hospital;N02.360.740
Dental Staff, Hospital;N02.360.740.322
Hospital Administrators;N02.360.740.380
Chief Executive Officers, Hospital;N02.360.740.380.100
Hospital Volunteers;N02.360.740.400
Medical Staff, Hospital;N02.360.740.422
Hospitalists;N02.360.740.422.400
Nursing Staff, Hospital;N02.360.740.523
Shared Governance, Nursing;N02.360.740.523.500
Pharmacists;N02.360.780
Physical Therapists;N02.360.790
Physician Executives;N02.360.800
Physicians;N02.360.810
Allergists;N02.360.810.020
Anesthesiologists;N02.360.810.040
Cardiologists;N02.360.810.128
Dermatologists;N02.360.810.215
Endocrinologists;N02.360.810.303
Foreign Medical Graduates;N02.360.810.390
Gastroenterologists;N02.360.810.438
General Practitioners;N02.360.810.485
Geriatricians;N02.360.810.533
Hospitalists;N02.360.810.580
Nephrologists;N02.360.810.628
Neurologists;N02.360.810.652
Occupational Health Physicians;N02.360.810.675
Oncologists;N02.360.810.699
Radiation Oncologists;N02.360.810.699.500
Ophthalmologists;N02.360.810.705
Osteopathic Physicians;N02.360.810.722
Otolaryngologists;N02.360.810.734
Pathologists;N02.360.810.746
Pediatricians;N02.360.810.758
Neonatologists;N02.360.810.758.500
Physiatrists;N02.360.810.764
Physicians, Family;N02.360.810.770
Physicians, Primary Care;N02.360.810.795
Physicians, Women;N02.360.810.820
Pulmonologists;N02.360.810.865
Radiologists;N02.360.810.877
Radiation Oncologists;N02.360.810.877.500
Rheumatologists;N02.360.810.888
Surgeons;N02.360.810.910
Barber Surgeons;N02.360.810.910.500
Neurosurgeons;N02.360.810.910.750
Orthopedic Surgeons;N02.360.810.910.875
Urologists;N02.360.810.955
Veterinarians;N02.360.905
Health Services;N02.421
Adolescent Health Services;N02.421.044
Child Care;N02.421.088
Infant Care;N02.421.088.120
Facilitated Tucking;N02.421.088.120.059
Kangaroo-Mother Care Method;N02.421.088.120.140
Perinatal Care;N02.421.088.120.180
Rooming-in Care;N02.421.088.120.240
Community Health Services;N02.421.143
Adult Day Care Centers;N02.421.143.065
Child Day Care Centers;N02.421.143.098
Child Health Services;N02.421.143.130
Early Intervention (Education);N02.421.143.130.320
Maternal-Child Health Services;N02.421.143.130.660
Community Health Nursing;N02.421.143.150
Home Health Nursing;N02.421.143.150.500
Parish Nursing;N02.421.143.150.750
Community Mental Health Services;N02.421.143.183
Community Networks;N02.421.143.202
Community Participation;N02.421.143.212
Patient Participation;N02.421.143.212.300
Community Pharmacy Services;N02.421.143.221
Counseling;N02.421.143.303
Distance Counseling;N02.421.143.303.175
Sex Counseling;N02.421.143.303.700
Family Planning Services;N02.421.143.401
Foster Home Care;N02.421.143.452
Home Care Services;N02.421.143.524
Hemodialysis, Home;N02.421.143.524.337
Home Care Services, Hospital-Based;N02.421.143.524.403
Home Health Nursing;N02.421.143.524.419
Home Infusion Therapy;N02.421.143.524.436
Home Nursing;N02.421.143.524.470
Respite Care;N02.421.143.524.470.610
Homemaker Services;N02.421.143.524.595
Parenteral Nutrition, Home;N02.421.143.524.650
Parenteral Nutrition, Home Total;N02.421.143.524.650.565
Hospices;N02.421.143.550
Maternal Health Services;N02.421.143.620
Maternal-Child Health Services;N02.421.143.620.275
Perinatal Care;N02.421.143.620.550
Postnatal Care;N02.421.143.620.550.500
Preconception Care;N02.421.143.620.620
Prenatal Care;N02.421.143.620.704
Occupational Health Services;N02.421.143.740
Senior Centers;N02.421.143.913
Dental Health Services;N02.421.240
Dental Care;N02.421.240.190
Dental Care for Aged;N02.421.240.190.210
Dental Care for Children;N02.421.240.190.215
Dental Care for Chronically Ill;N02.421.240.190.220
Dental Care for Disabled;N02.421.240.190.230
Dental Service, Hospital;N02.421.240.200
Dietary Services;N02.421.242
Food Service, Hospital;N02.421.242.472
Menu Planning;N02.421.242.472.310
Emergency Medical Services;N02.421.297
Advanced Trauma Life Support Care;N02.421.297.028
Call Centers;N02.421.297.036
Emergency Medical Dispatch;N02.421.297.043
Emergency Medical Service Communication Systems;N02.421.297.058
Emergency Service, Hospital;N02.421.297.195
Trauma Centers;N02.421.297.195.480
Emergency Services, Psychiatric;N02.421.297.200
Hotlines;N02.421.297.448
Poison Control Centers;N02.421.297.695
Transportation of Patients;N02.421.297.879
Ambulance Diversion;N02.421.297.879.049
Ambulances;N02.421.297.879.100
Air Ambulances;N02.421.297.879.100.100
Stretchers;N02.421.297.879.550
Triage;N02.421.297.900
Genetic Services;N02.421.308
Genetic Carrier Screening;N02.421.308.200
Genetic Counseling;N02.421.308.400
Genetic Testing;N02.421.308.430
Pharmacogenomic Testing;N02.421.308.430.500
Health Services for Persons with Disabilities;N02.421.314
Health Services for the Aged;N02.421.320
Health Services for Transgender Persons;N02.421.325
Health Services, Indigenous;N02.421.330
Health Services Misuse;N02.421.380
Medical Overuse;N02.421.380.450
Unnecessary Procedures;N02.421.380.450.500
Medical Errors;N02.421.450
Diagnostic Errors;N02.421.450.280
Medication Errors;N02.421.450.500
Inappropriate Prescribing;N02.421.450.500.249
Medication Reconciliation;N02.421.450.500.500
Near Miss, Healthcare;N02.421.450.500.750
Near Miss, Healthcare;N02.421.450.550
Observer Variation;N02.421.450.600
Radiotherapy Setup Errors;N02.421.450.800
Mental Health Services;N02.421.461
Community Mental Health Services;N02.421.461.232
Counseling;N02.421.461.363
Directive Counseling;N02.421.461.363.349
Motivational Interviewing;N02.421.461.363.349.500
Distance Counseling;N02.421.461.363.437
Sex Counseling;N02.421.461.363.700
Social Work, Psychiatric;N02.421.461.798
Nursing Care;N02.421.533
Cardiovascular Nursing;N02.421.533.099
Critical Care Nursing;N02.421.533.149
Emergency Nursing;N02.421.533.200
Geriatric Nursing;N02.421.533.245
Holistic Nursing;N02.421.533.282
Home Nursing;N02.421.533.320
Respite Care;N02.421.533.320.610
Hospice and Palliative Care Nursing;N02.421.533.390
Maternal-Child Nursing;N02.421.533.460
Neonatal Nursing;N02.421.533.460.600
Medical-Surgical Nursing;N02.421.533.475
Nephrology Nursing;N02.421.533.490
Neuroscience Nursing;N02.421.533.505
Nursing, Practical;N02.421.533.520
Obstetric Nursing;N02.421.533.571
Occupational Health Nursing;N02.421.533.585
Oncology Nursing;N02.421.533.600
Orthopedic Nursing;N02.421.533.635
Pediatric Nursing;N02.421.533.691
Neonatal Nursing;N02.421.533.691.600
Perioperative Nursing;N02.421.533.710
Operating Room Nursing;N02.421.533.710.625
Postanesthesia Nursing;N02.421.533.710.650
Primary Nursing;N02.421.533.760
Psychiatric Nursing;N02.421.533.778
Rehabilitation Nursing;N02.421.533.889
Nursing Services;N02.421.539
Home Care Services;N02.421.539.089
Home Health Nursing;N02.421.539.089.500
Nursing Service, Hospital;N02.421.539.180
Patient Care;N02.421.585
Ambulatory Care;N02.421.585.106
Peritoneal Dialysis, Continuous Ambulatory;N02.421.585.106.500
Bloodless Medical and Surgical Procedures;N02.421.585.148
Continuity of Patient Care;N02.421.585.169
Aftercare;N02.421.585.169.063
Patient Discharge;N02.421.585.169.125
Patient Handoff;N02.421.585.169.249
Patient Transfer;N02.421.585.169.624
Retention in Care;N02.421.585.169.671
Transition to Adult Care;N02.421.585.169.718
Transitional Care;N02.421.585.169.812
Critical Care;N02.421.585.190
Intensive Care, Neonatal;N02.421.585.190.500
Custodial Care;N02.421.585.215
Day Care, Medical;N02.421.585.246
Delayed Diagnosis;N02.421.585.273
Episode of Care;N02.421.585.300
Foster Home Care;N02.421.585.352
Hospitalization;N02.421.585.400
Length of Stay;N02.421.585.400.480
Patient Admission;N02.421.585.400.600
Patient Discharge;N02.421.585.400.610
Patient Handoff;N02.421.585.400.615
Patient Readmission;N02.421.585.400.620
Patient Transfer;N02.421.585.400.630
Institutionalization;N02.421.585.415
Deinstitutionalization;N02.421.585.415.280
Life Support Care;N02.421.585.440
Advanced Cardiac Life Support;N02.421.585.440.028
Advanced Trauma Life Support Care;N02.421.585.440.040
Long-Term Care;N02.421.585.476
Moving and Lifting Patients;N02.421.585.525
Night Care;N02.421.585.564
Palliative Care;N02.421.585.666
Patient Comfort;N02.421.585.683
Patient Positioning;N02.421.585.700
Kangaroo-Mother Care Method;N02.421.585.700.500
Perinatal Care;N02.421.585.703
Postnatal Care;N02.421.585.703.500
Perioperative Care;N02.421.585.722
Intraoperative Care;N02.421.585.722.400
Perioperative Nursing;N02.421.585.722.500
Postoperative Care;N02.421.585.722.700
Perioperative Period;N02.421.585.753
Intraoperative Period;N02.421.585.753.374
Operative Time;N02.421.585.753.374.500
Postoperative Period;N02.421.585.753.750
Anesthesia Recovery Period;N02.421.585.753.750.055
Preoperative Period;N02.421.585.753.937
Preconception Care;N02.421.585.775
Prenatal Care;N02.421.585.786
Preoperative Care;N02.421.585.795
Subacute Care;N02.421.585.850
Terminal Care;N02.421.585.905
Euthanasia;N02.421.585.905.199
Euthanasia, Active;N02.421.585.905.199.500
Euthanasia, Active, Voluntary;N02.421.585.905.199.500.200
Euthanasia, Animal;N02.421.585.905.199.500.750
Euthanasia, Passive;N02.421.585.905.199.625
Hospice Care;N02.421.585.905.400
Resuscitation Orders;N02.421.585.905.700
Suicide, Assisted;N02.421.585.905.850
Time-to-Treatment;N02.421.585.928
Transitional Care;N02.421.585.940
Withholding Treatment;N02.421.585.952
Euthanasia, Passive;N02.421.585.952.500
Patient Escort Service;N02.421.608
Personal Health Services;N02.421.631
Pharmaceutical Services;N02.421.668
Community Pharmacy Services;N02.421.668.274
Drug Information Services;N02.421.668.320
Adverse Drug Reaction Reporting Systems;N02.421.668.320.120
Clinical Pharmacy Information Systems;N02.421.668.320.200
Prescription Drug Monitoring Programs;N02.421.668.320.600
Medication Therapy Management;N02.421.668.438
Pharmaceutical Services, Online;N02.421.668.475
Pharmacy Service, Hospital;N02.421.668.556
Prescriptions;N02.421.668.778
Drug Prescriptions;N02.421.668.778.500
Drug Substitution;N02.421.668.778.500.312
Electronic Prescribing;N02.421.668.778.750
Preventive Health Services;N02.421.726
Diagnostic Services;N02.421.726.233
Clinical Laboratory Services;N02.421.726.233.110
Diagnostic Screening Programs;N02.421.726.233.138
Direct-To-Consumer Screening and Testing;N02.421.726.233.166
Genetic Testing;N02.421.726.233.221
Genetic Carrier Screening;N02.421.726.233.221.250
Pharmacogenomic Testing;N02.421.726.233.221.500
Mass Screening;N02.421.726.233.443
Anonymous Testing;N02.421.726.233.443.221
Mass Chest X-Ray;N02.421.726.233.443.443
Multiphasic Screening;N02.421.726.233.443.633
Neonatal Screening;N02.421.726.233.443.816
Mobile Health Units;N02.421.726.233.628
Early Intervention (Education);N02.421.726.320
Early Medical Intervention;N02.421.726.363
Health Education;N02.421.726.407
Consumer Health Information;N02.421.726.407.229
Health Literacy;N02.421.726.407.229.500
Patient Medication Knowledge;N02.421.726.407.229.500.500
Health Education, Dental;N02.421.726.407.457
Health Fairs;N02.421.726.407.478
Health Promotion;N02.421.726.407.579
Healthy People Programs;N02.421.726.407.579.300
Weight Reduction Programs;N02.421.726.407.579.650
Obesity Management;N02.421.726.407.579.650.500
Patient Education as Topic;N02.421.726.407.680
Prenatal Education;N02.421.726.407.680.500
Smoking Prevention;N02.421.726.407.840
Immunization Programs;N02.421.726.608
Mass Vaccination;N02.421.726.608.500
Needle-Exchange Programs;N02.421.726.708
Post-Exposure Prophylaxis;N02.421.726.755
Primary Prevention;N02.421.726.758
Immunization;N02.421.726.758.310
Vaccination;N02.421.726.758.310.890
Mass Vaccination;N02.421.726.758.310.890.500
Vaccination Coverage;N02.421.726.758.310.890.750
Pre-Exposure Prophylaxis;N02.421.726.758.655
School Health Services;N02.421.726.809
School Dentistry;N02.421.726.809.576
School Nursing;N02.421.726.809.742
Secondary Prevention;N02.421.726.825
Tertiary Prevention;N02.421.726.860
Vaccination Coverage;N02.421.726.930
Rehabilitation;N02.421.784
Activities of Daily Living;N02.421.784.110
Cardiac Rehabilitation;N02.421.784.244
Correction of Hearing Impairment;N02.421.784.377
Hospitals, Rehabilitation;N02.421.784.411
Mental Health Recovery;N02.421.784.444
Neurological Rehabilitation;N02.421.784.511
Stroke Rehabilitation;N02.421.784.511.500
Psychiatric Rehabilitation;N02.421.784.578
Rehabilitation, Vocational;N02.421.784.644
Employment, Supported;N02.421.784.644.350
Self Care;N02.421.784.680
Self-Management;N02.421.784.760
Telerehabilitation;N02.421.784.840
Reproductive Health Services;N02.421.800
Family Planning Services;N02.421.800.249
Maternal Health Services;N02.421.800.500
Rural Health Services;N02.421.816
Rural Nursing;N02.421.816.500
Social Work;N02.421.849
Social Work, Psychiatric;N02.421.849.673
Student Health Services;N02.421.897
Suburban Health Services;N02.421.908
Tissue and Organ Procurement;N02.421.911
Directed Tissue Donation;N02.421.911.200
Donor Selection;N02.421.911.600
Urban Health Services;N02.421.914
Women's Health Services;N02.421.920
Preconception Care;N02.421.920.660
Housekeeping;N02.508
Housekeeping, Hospital;N02.508.472
Maintenance;N02.628
Maintenance and Engineering, Hospital;N02.628.472
Health Care Economics and Organizations;N03
Dual MEDICAID MEDICARE Eligibility;N03.109
Economics;N03.219
Compensation and Redress;N03.219.075
Costs and Cost Analysis;N03.219.151
Cost Allocation;N03.219.151.080
Cost-Benefit Analysis;N03.219.151.125
Cost Control;N03.219.151.160
Cost Savings;N03.219.151.160.200
Cost of Illness;N03.219.151.165
Cost Sharing;N03.219.151.170
Deductibles and Coinsurance;N03.219.151.170.300
Medical Savings Accounts;N03.219.151.170.650
Health Care Costs;N03.219.151.400
Direct Service Costs;N03.219.151.400.325
Drug Costs;N03.219.151.400.350
Employer Health Costs;N03.219.151.400.375
Hospital Costs;N03.219.151.400.687
Health Expenditures;N03.219.151.450
Capital Expenditures;N03.219.151.450.200
Economic Competition;N03.219.188
Economic Development;N03.219.206
Economics, Behavioral;N03.219.215
Economics, Dental;N03.219.224
Fees, Dental;N03.219.224.426
Economics, Hospital;N03.219.262
Hospital Charges;N03.219.262.300
Hospital Costs;N03.219.262.500
Economics, Medical;N03.219.300
Fees, Medical;N03.219.300.426
Economics, Nursing;N03.219.338
Economics, Pharmaceutical;N03.219.390
External Debt;N03.219.416
Fees and Charges;N03.219.442
Capitation Fee;N03.219.442.090
Fee-for-Service Plans;N03.219.442.195
Fees, Dental;N03.219.442.301
Fees, Medical;N03.219.442.426
Fees, Pharmaceutical;N03.219.442.551
Prescription Fees;N03.219.442.551.621
Hospital Charges;N03.219.442.613
Rate Setting and Review;N03.219.442.800
Financial Management;N03.219.463
Accounting;N03.219.463.030
Accounts Payable and Receivable;N03.219.463.030.080
Banking, Personal;N03.219.463.030.100
Depreciation;N03.219.463.030.120
Financial Statements;N03.219.463.030.140
Financial Audit;N03.219.463.030.160
Patient Credit and Collection;N03.219.463.030.320
Bankruptcy;N03.219.463.045
Budgets;N03.219.463.060
Rate Setting and Review;N03.219.463.060.800
Capital Financing;N03.219.463.085
Contract Services;N03.219.463.100
Competitive Bidding;N03.219.463.100.110
Outsourced Services;N03.219.463.100.600
Financial Management, Hospital;N03.219.463.280
Financing, Construction;N03.219.463.300
Fund Raising;N03.219.463.360
Group Purchasing;N03.219.463.430
Leasing, Property;N03.219.463.500
Marketing of Health Services;N03.219.463.548
Risk Management;N03.219.463.800
Risk Sharing, Financial;N03.219.463.800.800
Financial Support;N03.219.483
Foundations;N03.219.483.311
Health Planning Support;N03.219.483.408
Healthcare Financing;N03.219.483.500
Research Support as Topic;N03.219.483.645
Training Support;N03.219.483.838
Fellowships and Scholarships;N03.219.483.838.276
Financing, Organized;N03.219.521
Financing, Government;N03.219.521.346
Public Assistance;N03.219.521.346.506
Food Assistance;N03.219.521.346.506.281
Medical Assistance;N03.219.521.346.506.564
Medicaid;N03.219.521.346.506.564.655
Medicare;N03.219.521.346.506.564.663
Medicare Access and CHIP Reauthorization Act of 2015;N03.219.521.346.506.564.663.250
Medicare Part A;N03.219.521.346.506.564.663.500
Medicare Part B;N03.219.521.346.506.564.663.515
Medicare Part C;N03.219.521.346.506.564.663.757
Old Age Assistance;N03.219.521.346.506.678
Social Security;N03.219.521.346.506.849
Aid to Families with Dependent Children;N03.219.521.346.506.849.095
Veterans Disability Claims;N03.219.521.346.733
Workers' Compensation;N03.219.521.346.866
Insurance;N03.219.521.576
Cost Sharing;N03.219.521.576.090
Deductibles and Coinsurance;N03.219.521.576.090.300
Medical Savings Accounts;N03.219.521.576.090.650
Insurance Benefits;N03.219.521.576.130
Insurance Carriers;N03.219.521.576.160
Insurance Claim Reporting;N03.219.521.576.210
Insurance Claim Review;N03.219.521.576.215
Insurance Coverage;N03.219.521.576.265
Universal Health Insurance;N03.219.521.576.265.500
Insurance, Disability;N03.219.521.576.300
Workers' Compensation;N03.219.521.576.300.900
Insurance, Health;N03.219.521.576.343
Children's Health Insurance Program;N03.219.521.576.343.071
For-Profit Insurance Plans;N03.219.521.576.343.144
Health Benefit Plans, Employee;N03.219.521.576.343.290
Employee Retirement Income Security Act;N03.219.521.576.343.290.300
Health Insurance Portability and Accountability Act;N03.219.521.576.343.349
Insurance, Accident;N03.219.521.576.343.409
Insurance, Dental;N03.219.521.576.343.450
Insurance, Health, Reimbursement;N03.219.521.576.343.480
Insurance, Hospitalization;N03.219.521.576.343.492
Insurance, Long-Term Care;N03.219.521.576.343.508
Insurance, Major Medical;N03.219.521.576.343.533
Insurance, Medigap;N03.219.521.576.343.539
Insurance, Nursing Services;N03.219.521.576.343.545
Insurance, Pharmaceutical Services;N03.219.521.576.343.575
Medicare Part D;N03.219.521.576.343.575.500
Medication Therapy Management;N03.219.521.576.343.575.500.500
Insurance, Physician Services;N03.219.521.576.343.616
Medicare Assignment;N03.219.521.576.343.616.508
Insurance, Psychiatric;N03.219.521.576.343.658
Insurance, Surgical;N03.219.521.576.343.700
Insurance, Vision;N03.219.521.576.343.750
Managed Care Programs;N03.219.521.576.343.800
Competitive Medical Plans;N03.219.521.576.343.800.175
Health Maintenance Organizations;N03.219.521.576.343.800.400
Independent Practice Associations;N03.219.521.576.343.800.450
Patient Freedom of Choice Laws;N03.219.521.576.343.800.700
Preferred Provider Organizations;N03.219.521.576.343.800.750
Provider-Sponsored Organizations;N03.219.521.576.343.800.875
Managed Competition;N03.219.521.576.343.820
Medical Savings Accounts;N03.219.521.576.343.830
Medicare;N03.219.521.576.343.840
Medicare Access and CHIP Reauthorization Act of 2015;N03.219.521.576.343.840.254
Medicare Assignment;N03.219.521.576.343.840.508
Medicare Part A;N03.219.521.576.343.840.725
Medicare Part B;N03.219.521.576.343.840.754
Medicare Part C;N03.219.521.576.343.840.877
Medicare Part D;N03.219.521.576.343.840.938
Medication Therapy Management;N03.219.521.576.343.840.938.500
National Health Insurance, United States;N03.219.521.576.343.900
Not-For-Profit Insurance Plans;N03.219.521.576.343.912
Patient Protection and Affordable Care Act;N03.219.521.576.343.918
Health Insurance Exchanges;N03.219.521.576.343.918.500
Prepaid Health Plans;N03.219.521.576.343.925
Health Maintenance Organizations;N03.219.521.576.343.925.400
Prior Authorization;N03.219.521.576.343.944
Single-Payer System;N03.219.521.576.343.962
Value-Based Health Insurance;N03.219.521.576.343.972
Value-Based Purchasing;N03.219.521.576.343.981
Insurance, Liability;N03.219.521.576.443
Insurance, Life;N03.219.521.576.543
